NRO_REGISTRO;FECHA_CORTE;DEPARTAMENTO;PROVINCIA;DISTRITO;UBIGEO;GOBIERNO_LOCAL;UBICACION;MARCA;MODELO;ALTURA;LATITUD;LONGITUD;CONDICIÓN;CONECTIVIDAD
;;;;;;;;;;;;;;
1;20260130;CALLAO;PROV. CONST. DEL CALLAO;LA PUNTA;70105;MUNICIPALIDAD DISTRITAL DE LA PUNTA;Medina y Tovar (BASE);DAHUA;PTZ;9;-12.0745053;-77.1638321;Operativa;Cable Utp
2;20260130;CALLAO;PROV. CONST. DEL CALLAO;LA PUNTA;70105;MUNICIPALIDAD DISTRITAL DE LA PUNTA;Tovar y Larco (POZUZO);DAHUA;PTZ;9;-12.0736429;-77.16162;Operativa;Radio enlace
3;20260130;CALLAO;PROV. CONST. DEL CALLAO;LA PUNTA;70105;MUNICIPALIDAD DISTRITAL DE LA PUNTA;Tovar y Moore;VIVOTECK;PTZ;9;-12.071654;-77.1599761;Operativa;Radio enlace
4;20260130;CALLAO;PROV. CONST. DEL CALLAO;LA PUNTA;70105;MUNICIPALIDAD DISTRITAL DE LA PUNTA;Medina y Tarapaca;VIVOTECK;PTZ;9;-12.0741067;-77.1637384;Operativa;Radio enlace
5;20260130;CALLAO;PROV. CONST. DEL CALLAO;LA PUNTA;70105;MUNICIPALIDAD DISTRITAL DE LA PUNTA;Saenz Peña y Grau (MUNI);DAHUA;PTZ;9;-12.0725523;-77.1631593;Operativa;Cable Utp
6;20260130;CALLAO;PROV. CONST. DEL CALLAO;LA PUNTA;70105;MUNICIPALIDAD DISTRITAL DE LA PUNTA;Grau (COMISARIA);DAHUA;PTZ;9;-12.0678924;-77.1577403;Operativa;Radio enlace
7;20260130;CALLAO;PROV. CONST. DEL CALLAO;LA PUNTA;70105;MUNICIPALIDAD DISTRITAL DE LA PUNTA;Bolognesi y Galvez;DAHUA;PTZ;9;-12.068012;-77.1584241;Operativa;Radio enlace
8;20260130;CALLAO;PROV. CONST. DEL CALLAO;LA PUNTA;70105;MUNICIPALIDAD DISTRITAL DE LA PUNTA;Malecon Figueredo y Ferre;PANASONIC;PTZ;9;-12.0685018;-77.160479;Operativa;Radio enlace
9;20260130;CALLAO;PROV. CONST. DEL CALLAO;LA PUNTA;70105;MUNICIPALIDAD DISTRITAL DE LA PUNTA;Bolognesi c/6 (MERCADO);DAHUA;PTZ;9;-12.0695717;-77.1610107;Operativa;Cable Utp
10;20260130;CALLAO;PROV. CONST. DEL CALLAO;LA PUNTA;70105;MUNICIPALIDAD DISTRITAL DE LA PUNTA;Fanning y Arrieta;DAHUA;PTZ;9;-12.0702461;-77.163344;Operativa;Radio enlace
11;20260130;CALLAO;PROV. CONST. DEL CALLAO;LA PUNTA;70105;MUNICIPALIDAD DISTRITAL DE LA PUNTA;Figueredo y Saenz Peña;DAHUA;PTZ;9;-12.0706996;-77.1653355;Operativa;Radio enlace
12;20260130;CALLAO;PROV. CONST. DEL CALLAO;LA PUNTA;70105;MUNICIPALIDAD DISTRITAL DE LA PUNTA;Bolognesi y Malecon Pardo;DAHUA;PTZ;9;-12.0725496;-77.1650272;Operativa;Radio enlace
13;20260130;CALLAO;PROV. CONST. DEL CALLAO;LA PUNTA;70105;MUNICIPALIDAD DISTRITAL DE LA PUNTA;Grau / Arrieta;VIVOTECK;PTZ;11;-12.0714376;-77.1621892;Operativa;Radio enlace
14;20260130;CALLAO;PROV. CONST. DEL CALLAO;LA PUNTA;70105;MUNICIPALIDAD DISTRITAL DE LA PUNTA;Grau / Ferre;VIVOTECK;PTZ;11;-12.0696207;-77.1593574;Operativa;Radio enlace
15;20260130;CALLAO;PROV. CONST. DEL CALLAO;LA PUNTA;70105;MUNICIPALIDAD DISTRITAL DE LA PUNTA;Tarapaca / Palacios;VIVOTECK;PTZ;11;-12.0703242;-77.159333;Operativa;Radio enlace
16;20260130;CALLAO;PROV. CONST. DEL CALLAO;LA PUNTA;70105;MUNICIPALIDAD DISTRITAL DE LA PUNTA;Malecon Wiesse / Elias Aguirre;VIVOTECK;PTZ;11;-12.0691401;-77.15875;Operativa;Radio enlace
17;20260130;CALLAO;PROV. CONST. DEL CALLAO;LA PUNTA;70105;MUNICIPALIDAD DISTRITAL DE LA PUNTA;Fanning / Medina;VIVOTECK;PTZ;11;-12.0716607;-77.1650883;Operativa;Radio enlace
18;20260130;CALLAO;PROV. CONST. DEL CALLAO;LA PUNTA;70105;MUNICIPALIDAD DISTRITAL DE LA PUNTA;Skate Park;DAHUA;PTZ;11;-12.0729057;-77.1661198;Operativa;Radio enlace
19;20260130;CALLAO;PROV. CONST. DEL CALLAO;LA PUNTA;70105;MUNICIPALIDAD DISTRITAL DE LA PUNTA;Tarapaca / Garcia y Garcia;VIVOTECK;PTZ;11;-12.0715831;-77.1605647;Operativa;Radio enlace
20;20260130;CALLAO;PROV. CONST. DEL CALLAO;LA PUNTA;70105;MUNICIPALIDAD DISTRITAL DE LA PUNTA;Malecon Figueredo / Garcia y Garcia;VIVOTECK;PTZ;11;-12.0691817;-77.1625702;Operativa;Radio enlace
21;20260130;CALLAO;PROV. CONST. DEL CALLAO;LA PUNTA;70105;MUNICIPALIDAD DISTRITAL DE LA PUNTA;Bolognesi / Larco;DAHUA;PTZ;11;-12.0712055;-77.1630023;Operativa;Radio enlace
22;20260130;CALLAO;PROV. CONST. DEL CALLAO;LA PUNTA;70105;MUNICIPALIDAD DISTRITAL DE LA PUNTA;Torre La Merced / Malecon Figueredo;VIVOTECK;PTZ;11;-12.0672515;-77.158923;Operativa;Radio enlace
23;20260130;CALLAO;PROV. CONST. DEL CALLAO;LA PUNTA;70105;MUNICIPALIDAD DISTRITAL DE LA PUNTA;Grau / Malecon Pardo;DAHUA;PTZ;11;-12.0732124;-77.164491;Operativa;Radio enlace
24;20260130;CALLAO;PROV. CONST. DEL CALLAO;LA PUNTA;70105;MUNICIPALIDAD DISTRITAL DE LA PUNTA;Tovar / Saenz Peña;VIVOTECK;PTZ;11;-12.0738329;-77.1626989;Operativa;Radio enlace
